id,brand,price,start_time,start_day,end_time,end_day,trip_time,destination,checked_baggage,hand_luggage,crawl_date
DLI0122,Vietnam Airlines,1.690.308 VND/khách,21:10,01 thg 5,22:10,01 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,24-04-2025
DLI0045,Vietnam Airlines,1.701.297 VND/khách,05:45,01 thg 5,06:40,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,24-04-2025
DLI0014,VietJet Air,1.840.388 VND/khách,09:55,01 thg 5,10:50,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,24-04-2025
DLI0001,Bamboo Airways,1.475.759 VND/khách,16:45,01 thg 5,17:40,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,25-04-2025
DLI0029,VietJet Air,1.599.990 VND/khách,15:35,01 thg 5,16:30,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,25-04-2025
DLI0122,Vietnam Airlines,1.688.310 VND/khách,21:10,01 thg 5,22:10,01 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,25-04-2025
DLI0045,Vietnam Airlines,1.703.295 VND/khách,05:45,01 thg 5,06:40,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,25-04-2025
DLI0014,VietJet Air,1.827.420 VND/khách,09:55,01 thg 5,10:50,01 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,25-04-2025
DLI0002,Bamboo Airways,1.572.350 VND/khách,16:45,02 thg 5,17:40,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,12-04-2025
DLI0015,VietJet Air,1.424.000 VND/khách,09:55,02 thg 5,10:50,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,12-04-2025
DLI0030,VietJet Air,1.424.000 VND/khách,15:35,02 thg 5,16:30,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,12-04-2025
DLI0123,Vietnam Airlines,1.851.147 VND/khách,21:10,02 thg 5,22:10,02 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,12-04-2025
DLI0046,Vietnam Airlines,1.884.114 VND/khách,05:45,02 thg 5,06:40,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,12-04-2025
DLI0086,Vietnam Airlines,1.995.003 VND/khách,10:15,02 thg 5,11:10,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,12-04-2025
DLI0002,Bamboo Airways,1.572.350 VND/khách,16:45,02 thg 5,17:40,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,13-04-2025
DLI0015,VietJet Air,1.425.835 VND/khách,09:55,02 thg 5,10:50,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,13-04-2025
DLI0030,VietJet Air,1.425.835 VND/khách,15:35,02 thg 5,16:30,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,13-04-2025
DLI0123,Vietnam Airlines,1.853.145 VND/khách,21:10,02 thg 5,22:10,02 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,13-04-2025
DLI0046,Vietnam Airlines,1.886.112 VND/khách,05:45,02 thg 5,06:40,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,13-04-2025
DLI0064,Vietnam Airlines,2.011.986 VND/khách,08:55,02 thg 5,09:50,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,13-04-2025
DLI0046,Vietnam Airlines,1.605.393 VND/khách,05:45,02 thg 5,06:40,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,14-04-2025
DLI0015,VietJet Air,1.397.498 VND/khách,09:55,02 thg 5,10:50,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,14-04-2025
DLI0030,VietJet Air,1.397.498 VND/khách,15:35,02 thg 5,16:30,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,14-04-2025
DLI0002,Bamboo Airways,1.483.175 VND/khách,16:45,02 thg 5,17:40,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,14-04-2025
DLI0123,Vietnam Airlines,1.605.393 VND/khách,21:10,02 thg 5,22:10,02 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,14-04-2025
DLI0086,Vietnam Airlines,1.675.323 VND/khách,10:15,02 thg 5,11:10,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,14-04-2025
DLI0123,Vietnam Airlines,1.608.390 VND/khách,21:10,02 thg 5,22:10,02 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,15-04-2025
DLI0015,VietJet Air,1.401.488 VND/khách,09:55,02 thg 5,10:50,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,15-04-2025
DLI0030,VietJet Air,1.401.488 VND/khách,15:35,02 thg 5,16:30,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,15-04-2025
DLI0002,Bamboo Airways,1.483.175 VND/khách,16:45,02 thg 5,17:40,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,15-04-2025
DLI0046,Vietnam Airlines,1.611.387 VND/khách,05:45,02 thg 5,06:40,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,15-04-2025
DLI0086,Vietnam Airlines,1.715.283 VND/khách,10:15,02 thg 5,11:10,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",,,15-04-2025
DLI0046,Vietnam Airlines,1.493.100 VND/khách,05:45,02 thg 5,06:40,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,16-04-2025
DLI0002,Bamboo Airways,1.383.750 VND/khách,16:45,02 thg 5,17:40,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,16-04-2025
DLI0030,VietJet Air,1.445.443 VND/khách,15:35,02 thg 5,16:30,02 thg 5,55m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 0 kg,Hành lý xách tay 7 kg,16-04-2025
DLI0123,Vietnam Airlines,1.594.950 VND/khách,21:10,02 thg 5,22:10,02 thg 5,1h 0m,"Đà Lạt (DLI)
Sân bay Liên Khương",Hành lý 23 kg,Hành lý xách tay 1 x 12 kg,16-04-2025
