id,brand,price,destination,trip_mins,is_holiday,days_left,start_hour_Afternoon,start_hour_EarlyMorning,start_hour_Evening,start_hour_LateNight,start_hour_Morning,end_hour_Afternoon,end_hour_EarlyMorning,end_hour_Evening,end_hour_LateNight,end_hour_Morning,hand_luggage_7,hand_luggage_10,hand_luggage_12,checked_baggage_0,checked_baggage_20,checked_baggage_23
PQC0113,VietJet Air,1034000.0,PQC,60,0,4,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0136,VietJet Air,1034000.0,PQC,65,0,4,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0064,VietJet Air,1142000.0,PQC,60,0,4,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0070,VietJet Air,1142000.0,PQC,60,0,4,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0092,VietJet Air,1142000.0,PQC,60,0,4,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0046,VietJet Air,1280000.0,PQC,60,0,4,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0137,VietJet Air,815000.0,PQC,65,0,5,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0022,VietJet Air,1034000.0,PQC,60,0,5,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0114,VietJet Air,1034000.0,PQC,60,0,5,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0093,VietJet Air,1142000.0,PQC,60,0,5,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0047,VietJet Air,1280000.0,PQC,60,0,5,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
PQC0071,VietJet Air,1280000.0,PQC,60,0,5,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0023,VietJet Air,1034000.0,PQC,60,0,6,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0094,VietJet Air,1280000.0,PQC,60,0,6,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
PQC0115,VietJet Air,1280000.0,PQC,60,0,6,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0038,VietJet Air,1280000.0,PQC,65,0,6,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
PQC0138,VietJet Air,1280000.0,PQC,65,0,6,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
PQC0155,VietJet Air,1280000.0,PQC,65,0,6,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
