,brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,hand_luggage,checked_baggage,crawl_date,source_file,destination,id
62,Vietnam Airlines,2410929,08:00,2025-05-03,2025-05-03,09:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0414
63,Vietnam Airlines,2410929,11:00,2025-05-03,2025-05-03,12:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0502
64,Vietravel Airlines,2511705,21:05,2025-05-03,2025-05-03,22:25,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0763
65,Vietnam Airlines,2599186,16:00,2025-05-03,2025-05-03,17:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,01-05-25,planetrip_SGN.DAD&dt=03-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0614
75,Bamboo Airways,1608343,09:05,2025-05-04,2025-05-04,10:30,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0016
76,VietJet Air,1280790,22:45,2025-05-04,2025-05-05,00:05,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0361
77,VietJet Air,1395503,21:25,2025-05-04,2025-05-04,22:50,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0339
78,VietJet Air,1446267,13:35,2025-05-04,2025-05-04,14:50,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0180
79,VietJet Air,1446267,05:00,2025-05-04,2025-05-04,06:20,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0040
80,VietJet Air,1446267,06:50,2025-05-04,2025-05-04,08:10,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0073
81,VietJet Air,1446267,13:00,2025-05-04,2025-05-04,14:20,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0164
82,VietJet Air,1446267,16:15,2025-05-04,2025-05-04,17:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0231
83,VietJet Air,1446267,17:35,2025-05-04,2025-05-04,18:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0252
84,VietJet Air,1446267,17:55,2025-05-04,2025-05-04,19:15,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0267
85,VietJet Air,1446267,19:15,2025-05-04,2025-05-04,20:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0290
86,VietJet Air,1446267,21:15,2025-05-04,2025-05-04,22:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0326
87,VietJet Air,1446267,14:10,2025-05-04,2025-05-04,15:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0202
88,VietJet Air,1566161,12:30,2025-05-04,2025-05-04,13:50,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0144
89,Bamboo Airways,1608343,09:05,2025-05-04,2025-05-04,10:30,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0016
90,VietJet Air,1739997,09:35,2025-05-04,2025-05-04,10:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,01-05-25,planetrip_SGN.DAD&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,DAD,DAD0092
