,brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,hand_luggage,checked_baggage,crawl_date,source_file,destination,id
36,VietJet Air,1146000,15:40,2025-05-04,2025-05-04,16:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0111
37,VietJet Air,1146000,17:10,2025-05-04,2025-05-04,18:15,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0134
38,Vietnam Airlines,1236762,05:40,2025-05-04,2025-05-04,06:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0184
39,Vietnam Airlines,1274724,08:10,2025-05-04,2025-05-04,08:55,45m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0205
40,Vietnam Airlines,1274724,17:25,2025-05-04,2025-05-04,18:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0294
41,Vietnam Airlines,1274724,21:00,2025-05-04,2025-05-04,22:00,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0320
42,VietJet Air,1283000,09:20,2025-05-04,2025-05-04,10:20,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0044
43,VietJet Air,1283000,11:35,2025-05-04,2025-05-04,12:35,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0068
44,VietJet Air,1283000,14:05,2025-05-04,2025-05-04,15:05,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0090
45,Vietnam Airlines,1389609,15:05,2025-05-04,2025-05-04,16:10,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0271
46,Vietnam Airlines,1703295,13:05,2025-05-04,2025-05-04,14:00,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0253
47,Vietnam Airlines,1703295,10:25,2025-05-04,2025-05-04,11:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0228
48,Vietravel Airlines,1905225,17:25,2025-05-04,2025-05-04,18:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,2025-05-01,planetrip_SGN.PQC&dt=04-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0325
50,Bamboo Airways,782244,16:30,2025-05-05,2025-05-05,17:30,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0005
51,Vietravel Airlines,767292,17:25,2025-05-05,2025-05-05,18:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",7,0,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0326
52,VietJet Air,817000,17:10,2025-05-05,2025-05-05,18:15,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0135
53,Vietnam Airlines,1027746,05:25,2025-05-05,2025-05-05,06:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",12,0,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0170
54,VietJet Air,1037000,05:55,2025-05-05,2025-05-05,06:55,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0020
55,Vietnam Airlines,1125873,05:40,2025-05-05,2025-05-05,06:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0185
56,VietJet Air,1146000,14:05,2025-05-05,2025-05-05,15:05,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0091
57,VietJet Air,1146000,15:40,2025-05-05,2025-05-05,16:40,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1",7,0,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0112
58,Vietnam Airlines,1162836,20:20,2025-05-05,2025-05-05,21:20,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất",12,23,2025-05-01,planetrip_SGN.PQC&dt=05-05-2025.NA&ps=1.0.0&sc=ECONOMY.csv,PQC,PQC0308
