,id,brand,price,start_time,start_day,end_time,end_day,trip_time,hand_luggage,checked_baggage,crawl_date,destination
105,DAD0477,Vietnam Airlines,2.410.929 VND/khách,10:00,2025-05-04,11:25,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
106,DAD0503,Vietnam Airlines,2.410.929 VND/khách,11:00,2025-05-04,12:25,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
107,DAD0764,Vietravel Airlines,2.511.705 VND/khách,21:05,2025-05-04,22:25,2025-05-04,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
108,DAD0462,Vietnam Airlines,2.546.141 VND/khách,09:10,2025-05-04,10:25,2025-05-04,1h 15m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
109,DAD0439,Vietnam Airlines,2.546.141 VND/khách,09:05,2025-05-04,10:30,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
110,DAD0415,Vietnam Airlines,2.599.186 VND/khách,08:00,2025-05-04,09:25,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
111,DAD0726,Vietnam Airlines,2.599.186 VND/khách,20:45,2025-05-04,22:10,2025-05-04,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
117,DAD0017,Bamboo Airways,1.443.123 VND/khách,09:05,2025-05-05,10:30,2025-05-05,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
118,DAD0362,VietJet Air,1.143.135 VND/khách,22:45,2025-05-05,00:05,2025-05-06,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
119,DAD0312,VietJet Air,1.280.790 VND/khách,20:10,2025-05-05,21:30,2025-05-05,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
120,DAD0291,VietJet Air,1.283.783 VND/khách,19:15,2025-05-05,20:35,2025-05-05,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
121,DAD0041,VietJet Air,1.446.267 VND/khách,05:00,2025-05-05,06:20,2025-05-05,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
122,DAD0060,VietJet Air,1.446.267 VND/khách,05:30,2025-05-05,06:50,2025-05-05,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
123,DAD0074,VietJet Air,1.446.267 VND/khách,06:50,2025-05-05,08:10,2025-05-05,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
124,DAD0232,VietJet Air,1.446.267 VND/khách,16:15,2025-05-05,17:35,2025-05-05,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
125,DAD0327,VietJet Air,1.446.267 VND/khách,21:15,2025-05-05,22:35,2025-05-05,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
126,DAD0203,VietJet Air,1.446.267 VND/khách,14:10,2025-05-05,15:35,2025-05-05,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
127,DAD0093,VietJet Air,1.566.161 VND/khách,09:35,2025-05-05,10:55,2025-05-05,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
128,DAD0253,VietJet Air,1.566.161 VND/khách,17:35,2025-05-05,18:55,2025-05-05,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
129,DAD0115,VietJet Air,1.566.161 VND/khách,10:25,2025-05-05,11:50,2025-05-05,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
130,DAD0145,VietJet Air,1.615.727 VND/khách,12:30,2025-05-05,13:50,2025-05-05,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
131,DAD0765,Vietravel Airlines,1.656.848 VND/khách,21:05,2025-05-05,22:25,2025-05-05,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
132,DAD0165,VietJet Air,1.739.997 VND/khách,13:00,2025-05-05,14:20,2025-05-05,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
133,DAD0589,Vietnam Airlines,1.950.169 VND/khách,15:10,2025-05-05,16:35,2025-05-05,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
134,DAD0616,Vietnam Airlines,1.950.169 VND/khách,16:00,2025-05-05,17:25,2025-05-05,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
135,DAD0639,Vietnam Airlines,1.950.169 VND/khách,16:40,2025-05-05,18:05,2025-05-05,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
136,DAD0672,Vietnam Airlines,1.950.169 VND/khách,18:40,2025-05-05,20:05,2025-05-05,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
137,DAD0727,Vietnam Airlines,1.950.169 VND/khách,20:45,2025-05-05,22:10,2025-05-05,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
138,DAD0463,Vietnam Airlines,2.107.224 VND/khách,09:10,2025-05-05,10:25,2025-05-05,1h 15m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
139,DAD0440,Vietnam Airlines,2.107.224 VND/khách,09:05,2025-05-05,10:30,2025-05-05,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
140,DAD0535,Vietnam Airlines,2.107.224 VND/khách,12:15,2025-05-05,13:40,2025-05-05,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
141,DAD0565,Vietnam Airlines,2.107.224 VND/khách,13:20,2025-05-05,14:50,2025-05-05,1h 30m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
142,DAD0504,Vietnam Airlines,2.265.316 VND/khách,11:00,2025-05-05,12:25,2025-05-05,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
143,DAD0377,Vietnam Airlines,2.410.929 VND/khách,05:45,2025-05-05,07:10,2025-05-05,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
144,DAD0416,Vietnam Airlines,2.410.929 VND/khách,08:00,2025-05-05,09:25,2025-05-05,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
145,DAD0478,Vietnam Airlines,2.410.929 VND/khách,10:00,2025-05-05,11:25,2025-05-05,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
146,DAD0395,Vietnam Airlines,2.410.929 VND/khách,06:55,2025-05-05,08:25,2025-05-05,1h 30m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
147,DAD0694,Vietnam Airlines,2.599.186 VND/khách,19:15,2025-05-05,20:40,2025-05-05,1h 25m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,DAD
160,DAD0005,Bamboo Airways,1.190.194 VND/khách,06:30,2025-05-06,07:55,2025-05-06,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
161,DAD0042,VietJet Air,1.283.783 VND/khách,05:00,2025-05-06,06:20,2025-05-06,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
162,DAD0061,VietJet Air,1.283.783 VND/khách,05:30,2025-05-06,06:50,2025-05-06,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
163,DAD0222,VietJet Air,1.283.783 VND/khách,15:40,2025-05-06,17:00,2025-05-06,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
164,DAD0233,VietJet Air,1.283.783 VND/khách,16:15,2025-05-06,17:35,2025-05-06,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
165,DAD0254,VietJet Air,1.283.783 VND/khách,17:35,2025-05-06,18:55,2025-05-06,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
166,DAD0269,VietJet Air,1.283.783 VND/khách,17:55,2025-05-06,19:15,2025-05-06,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
167,DAD0292,VietJet Air,1.283.783 VND/khách,19:15,2025-05-06,20:35,2025-05-06,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
168,DAD0341,VietJet Air,1.283.783 VND/khách,21:25,2025-05-06,22:50,2025-05-06,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
169,DAD0018,Bamboo Airways,1.300.341 VND/khách,09:05,2025-05-06,10:30,2025-05-06,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
170,DAD0182,VietJet Air,1.401.899 VND/khách,13:35,2025-05-06,14:50,2025-05-06,1h 15m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
171,DAD0075,VietJet Air,1.401.899 VND/khách,06:50,2025-05-06,08:10,2025-05-06,1h 20m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
172,DAD0116,VietJet Air,1.401.899 VND/khách,10:25,2025-05-06,11:50,2025-05-06,1h 25m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,DAD
