,id,brand,price,start_time,start_day,end_time,end_day,trip_time,hand_luggage,checked_baggage,crawl_date,destination
75,PQC0273,Vietnam Airlines,1.270.728 VND/khách,15:05,2025-05-06,16:10,2025-05-06,1h 5m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
76,PQC0046,VietJet Air,1.284.000 VND/khách,09:20,2025-05-06,10:20,2025-05-06,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
77,PQC0207,Vietnam Airlines,1.338.660 VND/khách,08:10,2025-05-06,08:55,2025-05-06,45m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
78,PQC0230,Vietnam Airlines,1.502.496 VND/khách,10:25,2025-05-06,11:25,2025-05-06,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
79,PQC0255,Vietnam Airlines,1.527.121 VND/khách,13:05,2025-05-06,14:00,2025-05-06,55m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
83,PQC0006,Bamboo Airways,754.708 VND/khách,16:30,2025-05-07,17:30,2025-05-07,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
84,PQC0328,Vietravel Airlines,759.098 VND/khách,17:25,2025-05-07,18:25,2025-05-07,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
85,PQC0137,VietJet Air,817.000 VND/khách,17:10,2025-05-07,18:15,2025-05-07,1h 5m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
86,PQC0022,VietJet Air,1.037.000 VND/khách,05:55,2025-05-07,06:55,2025-05-07,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
87,PQC0114,VietJet Air,1.037.000 VND/khách,15:40,2025-05-07,16:40,2025-05-07,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
88,PQC0187,Vietnam Airlines,1.114.884 VND/khách,05:40,2025-05-07,06:40,2025-05-07,1h 0m,Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,2025-05-01,PQC
89,PQC0093,VietJet Air,1.146.000 VND/khách,14:05,2025-05-07,15:05,2025-05-07,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
90,PQC0047,VietJet Air,1.283.000 VND/khách,09:20,2025-05-07,10:20,2025-05-07,1h 0m,Hành lý xách tay 7 kg,Hành lý 0 kg,2025-05-01,PQC
