id,brand,price,start_hour,end_hour,trip_minutes,destination,hand_luggage,checked_baggage,is_holiday,days_left
HAN0139,Vietnam Airlines,1283715,21,22,60,HAN,12.0,23.0,0,1
HAN0102,Vietnam Airlines,2011986,10,11,55,HAN,12.0,23.0,0,1
HAN0005,Bamboo Airways,734450,16,17,55,HAN,7.0,0.0,0,2
HAN0050,VietJet Air,816953,9,10,55,HAN,7.0,0.0,0,2
HAN0172,Vietnam Airlines,1020978,8,9,55,HAN,12.0,0.0,0,2
HAN0124,Vietnam Airlines,1136862,17,18,55,HAN,12.0,23.0,0,2
HAN0051,VietJet Air,816953,9,10,55,HAN,7.0,0.0,0,3
HAN0173,Vietnam Airlines,908091,8,9,55,HAN,12.0,0.0,0,3
HAN0154,Vietnam Airlines,1020978,5,6,55,HAN,12.0,0.0,0,3
HAN0125,Vietnam Airlines,1179170,17,18,55,HAN,12.0,23.0,0,3
HAN0104,Vietnam Airlines,1392606,10,11,55,HAN,12.0,23.0,0,3
HAN0006,Bamboo Airways,734450,16,17,55,HAN,7.0,0.0,0,4
HAN0052,VietJet Air,816953,9,10,55,HAN,7.0,0.0,0,4
HAN0174,Vietnam Airlines,1102896,8,9,55,HAN,12.0,23.0,0,4
HAN0126,Vietnam Airlines,1366522,17,18,55,HAN,12.0,23.0,0,4
HAN0053,VietJet Air,1285778,9,10,55,HAN,7.0,0.0,0,5
HAN0155,Vietnam Airlines,1392606,5,6,55,HAN,12.0,23.0,0,5
HAN0175,Vietnam Airlines,1508490,8,9,55,HAN,12.0,23.0,0,5
HAN0106,Vietnam Airlines,1610388,10,11,55,HAN,12.0,23.0,0,5
HAN0127,Vietnam Airlines,1715283,17,18,55,HAN,12.0,23.0,0,5
HAN0007,Bamboo Airways,734450,16,17,55,HAN,7.0,0.0,1,6
HAN0054,VietJet Air,1143135,9,10,55,HAN,7.0,0.0,1,6
HAN0128,Vietnam Airlines,1249749,17,18,55,HAN,12.0,23.0,1,6
HAN0107,Vietnam Airlines,1508490,10,11,55,HAN,12.0,23.0,1,6
HAN0005,Bamboo Airways,907145,16,17,55,HAN,7.0,0.0,0,1
HAN0027,VietJet Air,840893,10,10,50,HAN,7.0,0.0,0,1
HAN0172,Vietnam Airlines,1103895,8,9,55,HAN,10.0,23.0,0,1
